Gender,Age,AgeGroup,TotalSpendings,ServiceCost,Profit
male,48,45-49,58396.0,18876.52,39519.48
Female,35,35-39,38389.45,35721.59,2667.86
male,34,30-34,68443.54,17045.9,51397.64
male,31,30-34,44993.45,30060.95,14932.5
female,38,35-39,49115.89,37079.85,12036.04
male,43,40-44,68598.27,7397.13,61201.14
Male,33,30-34,42905.6,25772.97,17132.63
male,33,30-34,60230.43,31226.5,29003.93
female,50,50-54,47856.78,27246.56,20610.22
male,44,40-44,41581.65,24631.4,16950.25
Male,37,35-39,46162.61,28932.2,17230.41
Male,33,30-34,55662.8,38300.19,17362.61
Male,45,45-49,60142.66,40951.64,19191.02
female,50,50-54,52256.06,35640.17,16615.89
female,33,30-34,34020.56,42426.89,-8406.33
Female,45,45-49,56355.32,25721.76,30633.56
female,51,50-54,48578.68,34774.28,13804.4
Male,41,40-44,38975.17,21849.23,17125.94
Male,45,45-49,53463.94,53449.0,14.94
female,48,45-49,61338.4,30801.18,30537.22
male,37,35-39,50067.19,36432.86,13634.33
female,35,35-39,59233.33,15900.28,43333.05
female,39,35-39,54623.96,36250.68,18373.28
Male,34,30-34,54753.04,30909.59,23843.45
Female,47,45-49,46945.13,33712.84,13232.29
Male,39,35-39,58186.97,30108.58,28078.39
Female,39,35-39,59141.79,29041.62,30100.17
Male,36,35-39,57926.68,27534.81,30391.87
female,47,45-49,46862.13,29282.74,17579.39
Male,30,30-34,59850.8,41746.2,18104.6
Male,36,35-39,53863.15,27060.93,26802.22
Male,50,50-54,40276.75,48070.27,-7793.52
female,30,30-34,46185.08,30491.02,15694.06
female,44,40-44,44695.91,41199.74,3496.17
female,33,30-34,30121.03,39151.41,-9030.38
female,49,45-49,60034.13,17492.5,42541.63
Female,39,35-39,81011.87,19185.06,61826.81
Female,52,50-54,62083.48,24574.15,37509.33
male,38,35-39,51628.59,17650.53,33978.06
female,31,30-34,44841.81,26695.5,18146.31
Female,43,40-44,40749.16,30224.94,10524.22
Male,45,45-49,51506.45,35188.88,16317.57
female,30,30-34,59683.07,31444.61,28238.46
male,31,30-34,43254.18,30041.92,13212.26
male,36,35-39,75642.6,38189.93,37452.67
male,39,35-39,36160.07,37119.07,-959.0
Male,51,50-54,52244.98,45262.73,6982.25
Female,49,45-49,50702.94,31492.99,19209.95
Male,30,30-34,50066.26,10712.17,39354.09
female,42,40-44,44311.45,33417.59,10893.86
male,30,30-34,50824.66,48152.25,2672.41
Male,34,30-34,45502.29,38207.89,7294.4
Male,45,45-49,62878.89,40042.4,22836.49
Female,44,40-44,66207.74,30758.64,35449.1
Female,46,45-49,46114.57,37305.09,8809.48
male,52,50-54,33550.29,40463.43,-6913.14
Male,45,45-49,53176.47,27326.0,25850.47
Male,42,40-44,52815.94,25993.74,26822.2
Female,40,40-44,51052.12,33637.62,17414.5
Male,46,45-49,55329.53,37754.09,17575.44
Male,46,45-49,63815.28,7957.05,55858.23
Male,31,30-34,58329.72,28441.77,29887.95
Female,42,40-44,55314.35,14372.37,40941.98
male,43,40-44,57539.16,29019.38,28519.78
female,40,40-44,52514.76,43516.92,8997.84
male,39,35-39,40545.59,25007.85,15537.74
female,32,30-34,64504.56,27711.33,36793.23
Male,46,45-49,51025.84,35295.49,15730.35
male,44,40-44,40540.61,37950.28,2590.33
female,38,35-39,38720.21,37649.33,1070.88
Female,39,35-39,40822.01,30298.54,10523.47
Female,37,35-39,37672.94,34563.73,3109.21
male,50,50-54,56688.84,34212.67,22476.17
male,42,40-44,48248.88,24370.03,23878.85
Male,47,45-49,57760.05,15991.64,41768.41
male,34,30-34,61694.74,22823.81,38870.93
Male,35,35-39,59107.82,41509.85,17597.97
Male,46,45-49,56340.23,47705.71,8634.52
Female,40,40-44,52875.29,29271.85,23603.44
Female,49,45-49,48096.37,41201.44,6894.93
female,45,45-49,48763.54,27620.81,21142.73
Female,38,35-39,55843.63,32792.26,23051.37
Female,31,30-34,40386.85,25086.36,15300.49
male,34,30-34,49461.15,38116.39,11344.76
Female,30,30-34,42571.58,24891.07,17680.51
female,33,30-34,61729.82,22859.09,38870.73
male,33,30-34,57170.57,30374.01,26796.56
female,51,50-54,71374.54,36534.13,34840.41
Female,54,50-54,42422.99,31309.22,11113.77
female,32,30-34,43495.26,26247.79,17247.47
male,38,35-39,50575.01,22802.58,27772.43
Male,51,50-54,42745.42,16504.87,26240.55
female,52,50-54,55376.2,26349.98,29026.22
female,41,40-44,49490.47,28776.69,20713.78
male,39,35-39,45114.69,34431.68,10683.01
male,31,30-34,60876.05,20663.14,40212.91
female,40,40-44,31504.11,35345.5,-3841.39
Female,39,35-39,55421.13,25246.73,30174.4
female,51,50-54,44488.68,25889.84,18598.84
male,35,35-39,58167.56,39989.76,18177.8
Male,47,45-49,60562.56,10181.21,50381.35
Male,31,30-34,27236.49,20185.37,7051.12
Female,31,30-34,47883.78,30365.16,17518.62
female,39,35-39,50581.92,29960.23,20621.69
Male,45,45-49,26421.64,16384.12,-9261.10064108764
female,41,40-44,52277.51,26046.34,26231.17
male,30,30-34,44719.47,37664.12,7055.35
Male,50,50-54,37942.73,20697.36,17245.37
Female,37,35-39,43495.11,38646.02,4849.09
male,45,45-49,41766.86,24270.72,17496.14
Female,47,45-49,44291.43,15016.61,29274.82
male,42,40-44,51851.23,36552.68,15298.55
Male,44,40-44,59812.47,32005.53,27806.94
Female,50,50-54,49221.64,18272.51,30949.13
Female,41,40-44,61027.58,25657.77,35369.81
male,37,35-39,39540.43,43799.7,-4259.27
Female,39,35-39,51528.89,35266.82,16262.07
male,43,40-44,71066.12,38923.09,32143.03
male,34,30-34,34094.35,20893.46,13200.89
male,47,45-49,33712.42,39802.23,-6089.81
male,48,45-49,62799.72,18608.38,44191.34
Male,44,40-44,52205.25,18861.45,33343.8
male,35,35-39,43985.0,36680.95,7304.05
female,40,40-44,38703.26,19351.36,19351.9
Female,50,50-54,49640.11,42140.49,7499.62
female,40,40-44,51335.79,19980.72,31355.07
Male,49,45-49,51385.27,22223.5,29161.77
female,49,45-49,38605.53,39225.37,-619.84
Female,50,50-54,46630.51,25033.98,21596.53
female,47,45-49,44319.17,36361.24,7957.93
Male,54,50-54,56464.44,21092.91,35371.53
male,47,45-49,39195.51,27787.19,11408.32
female,39,35-39,50760.28,35926.92,14833.36
Male,31,30-34,76342.26,23234.21,53108.05
Male,38,35-39,38512.7,38181.81,330.89
Female,43,40-44,42527.37,27117.72,15409.65
Female,48,45-49,49061.38,30960.73,18100.65
female,39,35-39,20577.46,21978.7,-1401.24
male,52,50-54,35731.73,23837.11,11894.62
Male,33,30-34,53106.93,23246.86,29860.07
female,35,35-39,48243.3,25128.21,23115.09
Male,43,40-44,60547.07,42369.62,18177.45
Male,33,30-34,47618.75,38966.32,8652.43
male,44,40-44,46738.56,33614.4,13124.16
male,45,45-49,42971.29,24731.05,18240.24
female,36,35-39,46571.55,23263.37,23308.18
male,46,45-49,37884.12,22243.09,15641.03
male,48,45-49,48525.34,27569.33,20956.01
female,48,45-49,40287.43,32241.03,8046.4
male,46,45-49,37892.35,34914.17,2978.18
Female,35,35-39,43605.43,30115.27,13490.16
Male,40,40-44,54511.53,34523.58,19987.95
Male,45,45-49,51422.56,37487.61,13934.95
Male,54,50-54,56676.07,27025.95,29650.12
Male,37,35-39,40767.64,38787.04,1980.6
female,40,40-44,49868.04,22130.13,27737.91
Male,36,35-39,67017.92,34691.06,32326.86
Male,53,50-54,63975.15,30255.71,33719.44
Male,51,50-54,37253.63,31402.4,5851.23
Male,54,50-54,39915.96,27057.59,12858.37
Female,48,45-49,66974.7,39978.57,26996.13
Male,39,35-39,54515.5,25166.11,29349.39
Female,38,35-39,48092.7,41099.67,6993.03
female,33,30-34,46975.88,41152.26,5823.62
male,52,50-54,52274.6,33608.9,18665.7
Male,44,40-44,52399.94,27497.31,24902.63
male,42,40-44,44668.39,23297.81,21370.58
male,54,50-54,48367.99,14045.02,34322.97
female,31,30-34,44317.79,34319.02,9998.77
male,31,30-34,51687.41,21108.04,30579.37
Female,45,45-49,42624.32,22228.13,20396.19
male,38,35-39,37322.53,34408.06,2914.47
male,42,40-44,64753.76,26560.92,38192.84
male,32,30-34,49304.24,31740.8,17563.44
Male,38,35-39,66970.55,33684.66,33285.89
Male,42,40-44,30677.17,42837.6,-12160.43
Female,50,50-54,35505.27,31588.59,3916.68
Female,51,50-54,54667.95,25603.08,29064.87
Male,31,30-34,49312.67,29399.37,19913.3
Female,37,35-39,38423.1,25377.05,13046.05
Male,38,35-39,61364.95,45038.04,16326.91
female,45,45-49,41301.07,32977.87,8323.2
male,31,30-34,61985.51,34677.34,27308.17
male,35,35-39,49295.65,40820.02,8475.63
Female,51,50-54,39300.69,23218.8,16081.89
Male,37,35-39,43312.61,18588.09,24724.52
Male,34,30-34,63721.53,29818.07,33903.46
Female,38,35-39,47022.53,18610.57,28411.96
Male,30,30-34,59723.41,26711.16,33012.25
female,38,35-39,64004.4,12568.7,51435.7
male,39,35-39,49195.77,19186.54,30009.23
Female,52,50-54,47768.07,39783.44,7984.63
Female,33,30-34,45950.32,33237.1,12713.22
Male,32,30-34,53520.98,44381.21,9139.77
Female,39,35-39,65059.3,29750.9,35308.4
female,44,40-44,37729.64,29443.74,8285.9
Male,40,40-44,52191.52,31723.8,20467.72
Male,43,40-44,51758.79,58709.45,-6950.66
Male,35,35-39,31958.13,38420.84,-6462.71
Male,41,40-44,41125.34,23275.16,17850.18
female,42,40-44,43174.59,33258.74,9915.85
Male,46,45-49,57640.3,31220.53,26419.77
Female,45,45-49,59389.51,35767.24,23622.27
female,32,30-34,31246.22,44985.76,-13739.54
male,31,30-34,56392.02,34702.2,21689.82
male,40,40-44,55099.28,27033.93,28065.35
Female,38,35-39,55783.87,44914.79,10869.08
Female,32,30-34,51527.46,19553.01,31974.45
female,47,45-49,59504.4,27830.73,31673.67
male,49,45-49,61715.21,37211.67,24503.54
male,44,40-44,33661.34,23675.98,9985.36
male,43,40-44,49512.76,29585.8,19926.96
male,31,30-34,47455.11,24389.41,23065.7
male,46,45-49,44272.53,29693.28,14579.25
Male,51,50-54,45454.92,24403.21,21051.71
Female,37,35-39,51867.84,30632.36,21235.48
Male,39,35-39,37033.91,27363.02,9670.89
male,47,45-49,56706.22,40617.93,16088.29
female,54,50-54,46308.78,33084.0,13224.78
female,48,45-49,58746.47,35905.04,22841.43
male,37,35-39,43800.69,31154.48,12646.21
male,37,35-39,43258.86,26524.63,16734.23
female,32,30-34,40545.37,32678.41,7866.96
Male,32,30-34,43856.45,31622.34,12234.11
Male,41,40-44,41985.7,10628.7,31357.0
male,51,50-54,54347.47,30268.42,24079.05
Male,46,45-49,60471.07,35375.69,25095.38
female,33,30-34,53878.68,24271.21,29607.47
Male,46,45-49,49225.78,36940.16,12285.62
male,43,40-44,54868.87,32844.73,22024.14
female,48,45-49,49635.8,26825.75,22810.05
Male,38,35-39,50285.73,34335.23,15950.5
Female,50,50-54,46933.61,27051.26,19882.35
female,41,40-44,58365.91,32214.39,26151.52
female,34,30-34,24340.68,27920.63,-3579.95
Female,40,40-44,28671.52,34392.04,-5720.52
Female,49,45-49,60272.24,40774.6,19497.64
female,32,30-34,48034.73,26511.05,21523.68
Female,50,50-54,59172.34,37217.81,21954.53
male,44,40-44,43919.21,27608.3,16310.91
male,43,40-44,66742.44,27671.02,39071.42
male,40,40-44,48634.81,26837.88,21796.93
female,49,45-49,54493.92,16495.95,37997.97
Female,37,35-39,45528.54,34002.85,11525.69
Female,33,30-34,41028.68,32272.37,8756.31
Male,41,40-44,32590.71,31303.6,1287.11
Male,37,35-39,57857.04,42436.16,15420.88
Female,35,35-39,53954.18,43316.97,10637.21
Female,44,40-44,50936.93,40463.58,10473.35
Female,41,40-44,38613.84,28117.37,10496.47
female,45,45-49,64154.66,27711.58,36443.08
Female,45,45-49,51058.73,21854.74,29203.99
Male,50,50-54,57028.89,30494.69,26534.2
female,49,45-49,49970.13,30066.03,19904.1
Female,49,45-49,39105.78,34307.56,4798.22
Male,33,30-34,59924.36,21449.23,38475.13
female,40,40-44,54507.68,27005.91,27501.77
Female,42,40-44,48185.9,16440.44,31745.46
Female,38,35-39,54336.71,24271.69,30065.02
Female,33,30-34,58175.44,37141.08,21034.36
female,41,40-44,56602.06,21188.6,35413.46
Male,38,35-39,32886.74,43951.83,-11065.09
Male,42,40-44,35097.98,38071.22,-2973.24
male,45,45-49,57328.49,34009.93,23318.56
Female,35,35-39,43038.8,40668.29,2370.51
male,39,35-39,39513.87,29031.73,10482.14
male,42,40-44,53721.04,24099.8,29621.24
Male,36,35-39,39210.56,29232.46,9978.1
female,48,45-49,45208.59,16249.24,28959.35
female,53,50-54,58522.7,39525.9,18996.8
Male,48,45-49,34858.58,27208.89,7649.69
female,46,45-49,36317.36,23958.35,12359.01
male,42,40-44,33890.04,24883.64,9006.4
Female,42,40-44,41388.35,30132.61,11255.74
Male,50,50-54,50827.15,30956.98,19870.17
Female,31,30-34,43812.12,28831.17,14980.95
female,39,35-39,65033.49,28795.6,36237.89
Female,51,50-54,54553.1,34398.07,20155.03
female,42,40-44,49811.82,21210.59,28601.23
female,38,35-39,62674.09,31801.53,30872.56
male,30,30-34,36691.93,27457.1,9234.83
female,43,40-44,58665.72,14016.1,44649.62
male,45,45-49,47637.41,21333.57,26303.84
male,49,45-49,45446.77,23664.15,21782.62
male,44,40-44,56110.71,43363.14,12747.57
Male,30,30-34,45874.91,33620.03,12254.88
Male,46,45-49,51819.04,32167.92,19651.12
female,53,50-54,49000.89,26104.23,22896.66
male,42,40-44,53064.52,25901.21,27163.31
Male,44,40-44,44929.2,20536.96,24392.24
male,45,45-49,59267.62,27388.73,31878.89
Female,45,45-49,29558.21,41004.87,-11446.66
Female,31,30-34,56408.93,19455.06,36953.87
Female,46,45-49,31087.6,25308.58,5779.02
female,40,40-44,42465.52,37409.5,5056.02
male,37,35-39,55223.59,37387.8,17835.79
Female,49,45-49,29863.3,24235.68,5627.62
Male,32,30-34,51664.81,39308.96,12355.85
Female,41,40-44,36286.54,26522.42,9764.12
Female,49,45-49,40309.3,20805.92,19503.38
Female,45,45-49,39849.26,41986.5,-2137.24
female,43,40-44,36566.67,30735.69,5830.98
Male,45,45-49,32703.9,28657.11,4046.79
male,50,50-54,70711.87,31398.64,39313.23
Male,46,45-49,48175.29,22240.61,25934.68
male,40,40-44,37625.78,25504.77,12121.01
female,46,45-49,44378.76,41495.21,2883.55
female,48,45-49,50366.61,44873.06,5493.55
female,51,50-54,46213.05,21094.64,25118.41
female,30,30-34,37331.58,26885.13,10446.45
male,41,40-44,41007.68,30035.11,10972.57
Female,44,40-44,61857.16,31605.55,30251.61
male,47,45-49,35972.87,22396.91,13575.96
Male,52,50-54,30030.29,35203.52,-5173.23
female,43,40-44,46120.45,35807.91,10312.54
female,30,30-34,30682.84,36802.49,-6119.65
Male,42,40-44,40902.27,36019.71,4882.56
male,44,40-44,37480.63,30649.86,6830.77
Female,36,35-39,37568.11,37924.45,-356.34
Female,44,40-44,50695.3,34352.53,16342.77
Male,49,45-49,52570.57,18129.0,34441.57
Female,39,35-39,41940.98,18185.26,23755.72
male,43,40-44,49056.18,32468.6,16587.58
male,35,35-39,41442.79,40286.55,1156.24
Male,43,40-44,54008.39,33568.36,20440.03
male,53,50-54,35223.36,34706.53,516.83
female,54,50-54,51652.41,21527.28,30125.13
Male,51,50-54,52410.81,30538.74,21872.07
male,41,40-44,73359.79,39136.85,34222.94
Male,40,40-44,32455.57,33566.49,-1110.92
Female,54,50-54,76557.6,30837.14,45720.46
male,49,45-49,57566.85,34753.0,22813.85
female,51,50-54,68273.15,31812.33,36460.82
male,53,50-54,59052.65,39396.31,19656.34
Male,54,50-54,40564.6,31806.3,8758.3
Male,48,45-49,56578.4,29754.02,26824.38
male,31,30-34,43343.47,21621.1,21722.37
female,51,50-54,49118.55,39715.13,9403.42
female,49,45-49,38253.15,22476.65,15776.5
female,30,30-34,43213.02,31899.83,11313.19
Male,37,35-39,58969.77,36407.65,22562.12
male,54,50-54,54379.57,44314.69,10064.88
Female,43,40-44,60242.3,31813.04,28429.26
Male,38,35-39,36021.88,41130.34,-5108.46
female,31,30-34,31295.59,30219.09,1076.5
male,54,50-54,61017.16,25516.59,35500.57
female,52,50-54,60276.73,52131.37,8145.36
Female,34,30-34,52115.37,20255.31,31860.06
female,52,50-54,54192.26,53370.59,821.67
female,54,50-54,58650.38,43026.94,15623.44
Female,37,35-39,51815.24,25401.58,26413.66
male,45,45-49,55366.67,35198.78,20167.89
Male,51,50-54,58148.23,18817.97,39330.26
male,45,45-49,49064.86,34744.26,14320.6
Female,42,40-44,46544.05,32576.8,13967.25
female,49,45-49,53820.53,36931.79,16888.74
male,44,40-44,72646.14,26768.18,45877.96
Male,30,30-34,41523.16,31272.2,10250.96
Female,51,50-54,45692.6,33810.2,11882.4
male,32,30-34,32435.89,26092.3,6343.59
Male,35,35-39,54348.03,41248.76,13099.27
Female,51,50-54,44700.66,31041.11,13659.55
Male,43,40-44,35996.68,32754.99,3241.69
Female,33,30-34,49364.1,23337.78,26026.32
female,47,45-49,64946.32,16789.27,48157.05
male,44,40-44,46479.74,19229.27,27250.47
Male,38,35-39,47394.86,34770.52,12624.34
Female,47,45-49,64557.07,23677.67,40879.4
Male,32,30-34,49949.92,35831.02,14118.9
Male,39,35-39,37923.6,43237.93,-5314.33
male,46,45-49,56889.99,36167.81,20722.18
female,36,35-39,61245.93,33410.49,27835.44
Male,44,40-44,47996.25,35245.46,12750.79
Female,30,30-34,51304.93,38832.19,12472.74
Female,54,50-54,36888.12,32493.75,4394.37
female,40,40-44,41294.13,35309.56,5984.57
Female,46,45-49,46669.6,25476.68,21192.92
female,34,30-34,50769.31,22190.3,28579.01
Female,36,35-39,43802.52,25953.65,17848.87
male,48,45-49,46292.21,27389.14,18903.07
Male,54,50-54,48761.83,27062.68,21699.15
male,53,50-54,40019.74,39173.14,846.6
Male,44,40-44,47311.99,8273.89,39038.1
Male,32,30-34,61559.4,28290.14,33269.26
Male,44,40-44,44039.78,35946.24,8093.54
male,34,30-34,40990.69,35654.11,5336.58
Male,52,50-54,70851.24,23448.54,47402.7
male,41,40-44,52256.02,43909.74,8346.28
female,49,45-49,42271.62,18929.98,23341.64
Female,34,30-34,56435.01,27200.26,29234.75
Female,32,30-34,52561.07,27521.37,25039.7
Male,38,35-39,44298.14,27441.2,16856.94
male,38,35-39,49510.48,40877.6,8632.88
Female,36,35-39,47085.61,30127.7,16957.91
male,31,30-34,59900.83,32558.2,27342.63
male,52,50-54,56813.42,37034.54,19778.88
Male,52,50-54,28570.55,24883.35,3687.2
Female,50,50-54,69029.09,28762.16,40266.93
Male,45,45-49,47116.83,43408.54,3708.29
Male,38,35-39,67223.63,33025.94,34197.69
Female,42,40-44,57160.51,21240.18,35920.33
Female,48,45-49,52482.3,23149.13,29333.17
female,49,45-49,49058.37,37135.46,11922.91
female,46,45-49,77587.77,20964.21,56623.56
male,35,35-39,47283.5,26216.08,21067.42
Female,33,30-34,43286.69,31626.42,11660.27
female,30,30-34,44186.91,30108.97,14077.94
male,47,45-49,50010.59,41865.74,8144.85
male,48,45-49,49993.14,10395.06,39598.08
male,38,35-39,60040.24,33855.58,26184.66
female,42,40-44,57582.49,27739.34,29843.15
Female,37,35-39,57594.91,40536.07,17058.84
Male,52,50-54,47717.62,28114.98,19602.64
male,42,40-44,56765.22,28346.81,28418.41
female,44,40-44,57812.97,29967.39,27845.58
female,40,40-44,49206.74,24710.87,24495.87
Male,41,40-44,52792.0,25272.7,27519.3
Male,43,40-44,57800.31,28808.35,28991.96
female,33,30-34,52111.65,43159.78,8951.87
Female,30,30-34,53065.78,26069.2,26996.58
Male,53,50-54,64070.95,24500.02,39570.93
female,33,30-34,52190.14,26798.82,25391.32
Male,48,45-49,43922.68,30027.17,13895.51
Female,38,35-39,36543.2,44339.56,-7796.36
male,39,35-39,51131.51,23889.72,27241.79
Male,33,30-34,46685.33,49992.74,-3307.41
Female,49,45-49,58083.14,33618.39,24464.75
female,38,35-39,65776.98,21997.39,43779.59
Male,42,40-44,39702.95,25621.96,14080.99
Male,41,40-44,41141.53,14508.4,26633.13
female,40,40-44,49758.41,30853.46,18904.95
male,41,40-44,42000.68,38412.28,3588.4
female,47,45-49,47779.74,30248.71,17531.03
Male,41,40-44,44638.27,36422.46,8215.81
female,45,45-49,39922.22,33427.9,6494.32
Female,34,30-34,58258.85,39681.08,18577.77
female,49,45-49,50752.82,22162.1,28590.72
Male,54,50-54,68303.69,37063.06,31240.63
female,41,40-44,53590.07,45094.21,8495.86
male,50,50-54,62885.32,50522.39,12362.93
female,54,50-54,42712.03,41362.61,1349.42
male,40,40-44,42587.93,31371.77,11216.16
Female,38,35-39,72208.71,22277.81,49930.9
male,47,45-49,43910.84,23467.02,20443.82
female,54,50-54,40508.5,28614.6,11893.9
Male,32,30-34,38287.54,44879.38,-6591.84
male,49,45-49,69157.51,25757.04,43400.47
Female,46,45-49,47253.03,31436.78,15816.25
male,43,40-44,54033.92,37526.11,16507.81
male,30,30-34,51513.97,3714.67,47799.3
male,46,45-49,42765.9,21492.7,21273.2
Female,54,50-54,47036.97,45625.37,1411.6
female,37,35-39,58456.84,38343.22,20113.62
male,34,30-34,37741.42,38397.16,-655.74
male,34,30-34,56741.68,22484.04,34257.64
Male,38,35-39,64340.38,41612.01,22728.37
Female,32,30-34,52923.75,23464.47,29459.28
male,48,45-49,63334.0,30732.38,32601.62
Female,52,50-54,36285.87,35557.54,728.33
male,38,35-39,31699.58,36663.09,-4963.51
female,51,50-54,52426.44,33948.38,18478.06
female,47,45-49,44136.55,28392.56,15743.99
male,45,45-49,58787.65,15219.33,43568.32
female,30,30-34,46895.56,30658.82,16236.74
male,31,30-34,51471.92,12652.03,38819.89
female,43,40-44,50809.84,34540.63,16269.21
Male,43,40-44,51128.84,22170.72,28958.12
Male,30,30-34,44573.55,28723.77,15849.78
Male,54,50-54,36353.52,25907.74,10445.78
Female,45,45-49,47808.08,34528.1,13279.98
Female,44,40-44,64500.42,23679.17,40821.25
Male,44,40-44,43911.72,32049.69,11862.03
Female,41,40-44,43856.53,31476.39,12380.14
female,45,45-49,51576.47,30526.16,21050.31
male,43,40-44,38228.97,33141.41,5087.56
male,53,50-54,60034.88,20380.1,39654.78
male,44,40-44,39182.65,20672.89,18509.76
Male,52,50-54,47107.03,41467.81,5639.22
Female,44,40-44,75389.08,17681.02,57708.06
female,48,45-49,38574.36,47330.78,-8756.42
female,37,35-39,64723.71,28897.9,35825.81
Male,31,30-34,51212.48,23196.16,28016.32
female,31,30-34,52623.18,36889.19,15733.99
female,39,35-39,41906.39,25502.13,16404.26
female,32,30-34,57987.51,32705.57,25281.94
female,52,50-54,46340.75,39944.65,6396.1
Female,46,45-49,38522.15,35706.04,2816.11
female,37,35-39,64556.6,33411.95,31144.65
male,52,50-54,46141.51,35237.05,10904.46
Male,33,30-34,31406.17,30320.59,1085.58
Female,43,40-44,47312.93,36488.76,10824.17
female,50,50-54,58080.7,21417.77,36662.93
Female,39,35-39,56483.62,41672.93,14810.69
female,30,30-34,43591.21,28750.35,14840.86
male,33,30-34,40225.19,31417.45,8807.74
Male,30,30-34,36338.23,27491.59,8846.64
female,46,45-49,49772.37,34848.89,14923.48
female,46,45-49,51509.96,38432.99,13076.97
female,36,35-39,57089.61,22063.44,35026.17
female,52,50-54,48509.66,29445.74,19063.92
Male,49,45-49,48213.32,31358.84,16854.48
Male,44,40-44,47215.07,33490.59,13724.48
male,42,40-44,51527.02,27667.53,23859.49
Male,31,30-34,48663.36,26544.33,22119.03
female,48,45-49,59390.87,37088.82,22302.05
male,53,50-54,53108.45,34069.1,19039.35
male,42,40-44,51080.02,31723.72,19356.3
male,53,50-54,49582.68,39995.24,9587.44
female,40,40-44,40581.75,19298.18,21283.57
Female,51,50-54,49993.47,36387.62,13605.85
female,44,40-44,43534.72,32989.02,10545.7
Male,39,35-39,53465.51,18360.64,35104.87
Male,38,35-39,47911.41,39330.62,8580.79
female,38,35-39,66643.15,34718.91,31924.24
female,49,45-49,37380.49,35786.73,1593.76
male,30,30-34,18994.82,27570.75,-8575.93
female,46,45-49,52676.63,36100.71,16575.92
male,41,40-44,43567.53,24152.49,19415.04
Male,39,35-39,51610.61,19236.66,32373.95
male,34,30-34,37643.62,29895.56,7748.06
female,47,45-49,69089.6,35400.07,33689.53
Male,44,40-44,46134.89,38119.4,8015.49
Female,35,35-39,42920.54,31205.53,11715.01
male,36,35-39,68904.92,30588.27,38316.65
Male,46,45-49,58403.43,38114.56,20288.87
male,35,35-39,63895.11,27328.51,36566.6
Male,37,35-39,48278.23,25503.0,22775.23
Male,41,40-44,50469.1,42945.91,7523.19
male,50,50-54,44032.74,27777.91,16254.83
Female,43,40-44,42865.28,37332.91,5532.37
Male,41,40-44,53982.39,40877.04,13105.35
Male,52,50-54,46315.48,31680.05,14635.43
Male,39,35-39,72208.19,32110.82,40097.37
Female,51,50-54,58425.25,44382.43,14042.82
Female,49,45-49,68832.62,19536.22,49296.4
female,44,40-44,27713.2,19400.55,8312.65
male,36,35-39,68954.21,36524.31,32429.9
Female,38,35-39,26150.54,26729.96,-579.42
male,39,35-39,37390.89,36891.96,498.93
female,39,35-39,32473.53,29548.58,2924.95
male,45,45-49,52430.49,36662.18,15768.31
Female,36,35-39,49818.03,22948.31,26869.72
male,34,30-34,57949.19,34904.98,23044.21
Female,52,50-54,49115.36,25992.28,23123.08
male,32,30-34,62251.0,35761.85,26489.15
Female,47,45-49,40673.07,48916.77,-8243.7
Female,40,40-44,62481.63,23564.06,38917.57
male,44,40-44,49692.59,27167.3,22525.29
female,50,50-54,73558.6,28978.06,44580.54
Male,49,45-49,58719.07,32582.01,26137.06
female,34,30-34,46963.38,11669.2,35294.18
male,53,50-54,49659.27,30265.91,19393.36
female,41,40-44,39908.84,28252.14,11656.7
Female,33,30-34,53593.6,28308.46,25285.14
Male,44,40-44,46958.04,32356.28,14601.76
male,38,35-39,57241.68,32832.58,24409.1
male,36,35-39,36620.01,32708.66,3911.35
male,39,35-39,46703.27,21383.64,25319.63
Male,52,50-54,38404.79,27996.86,10407.93
Female,42,40-44,39026.59,27661.03,11365.56
male,37,35-39,56060.5,34218.35,21842.15
female,41,40-44,61245.06,22271.29,38973.77
male,51,50-54,26674.55,31546.95,-4872.4
male,53,50-54,68618.75,42870.86,25747.89
male,48,45-49,64040.87,8713.1,55327.77
male,30,30-34,36533.24,28640.72,7892.52
Female,45,45-49,58268.44,14121.34,44147.1
female,51,50-54,45398.14,30002.19,15395.95
Female,46,45-49,49018.99,36683.71,12335.28
female,54,50-54,56020.55,25912.69,30107.86
male,47,45-49,54799.96,37408.48,17391.48
Male,40,40-44,44270.04,40886.71,3383.33
Female,47,45-49,44227.68,33214.2,11013.48
Male,36,35-39,44817.73,25880.22,18937.51
Female,47,45-49,61428.28,34288.03,27140.25
male,37,35-39,31381.84,43447.13,-12065.29
Female,35,35-39,48380.86,19350.88,29029.98
male,36,35-39,65725.47,38865.23,26860.24
Female,52,50-54,57037.04,19688.67,37348.37
male,51,50-54,60509.64,17859.4,42650.24
male,39,35-39,48519.41,20131.84,28387.57
female,40,40-44,38364.37,29684.91,8679.46
male,54,50-54,50556.88,40103.93,10452.95
female,42,40-44,43110.64,13911.42,29199.22
male,38,35-39,72306.87,37916.32,34390.55
Male,36,35-39,48418.23,28775.16,19643.07
male,38,35-39,56374.59,21176.89,35197.7
Male,42,40-44,67023.92,34732.61,32291.31
Male,32,30-34,39032.51,26201.35,12831.16
male,32,30-34,27202.7,48071.22,-20868.52
Male,30,30-34,54900.14,33987.7,20912.44
female,50,50-54,56783.27,30447.63,26335.64
Female,49,45-49,45859.03,35185.75,10673.28
