name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions
POSTULAT,Россия,Сувениры и Подарки,Средний; Выше среднего,1999.0,,71 и 2 франчайзинговых,Москва; Санкт-Петербург; Астрахань; Волгоград; Воронеж; Екатеринбург; Краснодар; Мурманск; Нижний Новгород; Тюмень; Уфа; Череповец
Prachka.com  ,Россия,Услуги населению,Средний,2004.0,,19,Москва; Санкт-Петербург; Казань; Новосибирск; Томск
Pretty One,Польша,Одежда,Средний,,37.0,5,Москва; Красноярск; Томск
PRISMA,Финляндия,Продукты питания,Средний,2008.0,62.0,16,Санкт-Петербург
PRIZ,Россия,Одежда,Средний,1992.0,20.0,20 и 15 франчайзинговых,Барнаул; Бийск; Екатеринбург; Иркутск; Кемерово; Красноярск; Новокузнецк; Новосибирск; Омск; Томск
Professional,Россия,Красота,Средний; Выше среднего,2005.0,6.0,6,Москва; Иваново; Кострома; Ярославль
ProfMarket,Россия,Красота,Средний,2000.0,,11,Томск
Pronto,Россия,"Кафе, ресторан",Средний,2000.0,23.0,23,Москва; Балашиха; Дмитров; Железнодорожный; Зеленоград; Казань; Королев; Красногорск; Мытищи; Набережные Челны; Одинцово; Подольск; Реутов; Ступино
Protein Store,Россия,Спорт,Ниже среднего,2015.0,,3 и 1 франчайзинговых,Лесосибирск; Пенза; Самара
Pull&Bear,Испания,Одежда,Средний,1986.0,594.0,73,Москва; Санкт-Петербург; Владимир; Воронеж; Екатеринбург; Зеленоград; Казань; Котельники; Краснодар; Красноярск; Курск; Липецк; Мытищи; Набережные Челны; Нижний Новгород; Пенза; Реутов; Ростов-на-Дону; Рязань; Самара; Саранск; Сочи; Ставрополь; Тольятти; Ульяновск; Уфа; Химки; Чебоксары; Челябинск; Ярославль
Pulse,Россия,Спорт,Средний,2000.0,,4,Барнаул
Puma,Германия,Спорт,Средний; Выше среднего,1948.0,,56,Москва; Санкт-Петербург; Барнаул; Екатеринбург; Краснодар; Нижний Новгород; Новосибирск; Омск; Ростов-на-Дону; Самара; Симферополь ; Сочи; Сургут; Уфа
Pushe,Россия,Мебель,Выше среднего,2000.0,183.0,183,Москва; Санкт-Петербург; Абакан; Анапа; Архангельск; Астрахань; Балаково; Белгород; Благовещенск; Борисоглебск; Великие Луки; Владивосток; Владикавказ; Владимир; Волгоград; Волгодонск; Воронеж; Грозный; Дзержинск; Дубна; Екатеринбург; Иваново; Ижевск; Иркутск; Калуга; Камышин; Кемерово; Киров; Краснодар; Красноярск; Курск; Липецк; Магадан; Магнитогорск; Махачкала; Наро-Фоминск; Нижневартовск; Нижний Новгород; Новомосковск; Новороссийск; Обнинск; Октябрьский; Омск; Орел; Оренбург; Орск; Пенза; Пермь; Петропавловск-Камчатский; Псков; Пятигорск; Ростов-на-Дону; Рязань; Саратов; Симферополь ; Смоленск; Сочи; Старый Оскол; Стерлитамак; Сыктывкар; Тамбов; Тверь; Тольятти; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Ухта; Хабаровск; Ханты-Мансийск; Чебоксары; Чита; Южно-Сахалинск; Якутск; Ярославль
Pushka,Россия,Развлечения,Средний,2014.0,,2,Москва; Курган
Pyjama Party,Россия,Одежда,Средний,,22.0,15,Москва; Санкт-Петербург; Волгоград; Воронеж; Екатеринбург; Казань; Краснодар; Нижний Новгород; Новосибирск; Пермь; Самара; Тюмень; Уфа; Челябинск
QIWI Post,Россия,Услуги населению,Средний,2011.0,,380,Москва; Санкт-Петербург; Балашиха; Барнаул; Дзержинский; Домодедово; Екатеринбург; Железнодорожный; Жуковский; Звенигород; Казань; Калининград; Королев; Котельники; Красногорск; Магнитогорск; Мытищи; Нижний Новгород; Новосибирск; Ногинск; Одинцово; Орехово-Зуево; Павловский Посад; Пермь; Пушкино; Раменское; Реутов; Рязань; Самара; Смоленск; Тольятти; Томск; Тюмень; Ульяновск; Химки; Челябинск; Щелково; Электросталь; Ярославль
QuestQuest,Россия,Развлечения,Средний,2014.0,6.0,6 и 136 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Ачинск; Белгород; Благовещенск; Брянск; Владивосток; Волгоград; Воронеж; Екатеринбург; Ижевск; Иркутск; Казань; Кемерово; Королев; Краснодар; Красноярск; Люберцы; Магнитогорск; Махачкала; Мурманск; Мытищи; Нижневартовск; Нижний Новгород; Новороссийск; Омск; Орехово-Зуево; Орск; Пенза; Пермь; Петрозаводск; Псков; Ростов-на-Дону; Рязань; Самара; Саратов; Сочи; Сургут; Тольятти; Томск; Улан-Удэ; Уфа; Хабаровск; Чебоксары; Челябинск; Чита; Электросталь; Элиста; Якутск; Ялта; Ярославль
Quiksilver,США,Одежда,Выше среднего,1970.0,1000.0,50 и 20 франчайзинговых,Москва; Санкт-Петербург; Анапа; Архангельск; Иркутск; Калининград; Краснодар; Рязань
Quizas,Россия,Ювелирные магазины,Средний; Выше среднего,2002.0,11.0,11,Санкт-Петербург; Вологда; Кострома; Череповец; Ярославль
Rabbit hole,Россия,Развлечения,Средний,2014.0,9.0,9 и 31 франчайзинговых,Москва; Санкт-Петербург; Иваново; Краснодар; Нижний Новгород; Оренбург; Петропавловск-Камчатский; Ростов-на-Дону; Саратов; Тюмень; Челябинск
Radomir,Россия,Ремонт и строительство,Средний,1991.0,12.0,11,Москва; Санкт-Петербург; Грозный; Екатеринбург; Иваново; Ковров; Краснодар; Самара; Симферополь ; Ярославль
RAFAM,Россия,Парфюмерия и Косметика,Средний,2017.0,78.0,78 и 77 франчайзинговых,
Ralf Ringer,Россия,Обувь,Средний; Выше среднего,1996.0,,1500,Москва; Санкт-Петербург; Архангельск; Барнаул; Белгород; Великий Новгород; Владивосток; Владимир; Волгоград; Воронеж; Екатеринбург; Иркутск; Киров; Красноярск; Мурманск; Мытищи; Нижний Новгород; Нижний Тагил; Новосибирск; Одинцово; Омск; Оренбург; Орехово-Зуево; Пенза; Пермь; Петропавловск-Камчатский; Подольск; Пятигорск; Рязань; Самара; Саратов; Северодвинск; Смоленск; Старый Оскол; Сургут; Сыктывкар; Тверь; Тольятти; Томск; Тула; Ульяновск; Уфа; Хабаровск; Челябинск; Чита; Щелково; Электросталь; Ярославль
Rapido,Россия,"Кафе, ресторан",Средний,,,9,Коломна; Подольск; Рязань; Тула
Razgon,Россия,Развлечения,Средний; Выше среднего,,5.0,5,Санкт-Петербург; Екатеринбург; Нижний Новгород; Чебоксары
RBT.ru,Россия,Бытовая техника,Дисконт; Ниже среднего,1930.0,,80,Абакан; Барнаул; Екатеринбург; Иркутск; Казань; Кемерово; Красноярск; Курган; Кызыл; Новосибирск; Ноябрьск; Омск; Оренбург; Пермь; Самара; Сургут; Томск; Тюмень; Уфа; Челябинск
RCF Старт,Россия,Одежда,Средний,2004.0,,48,Альметьевск; Березники; Воткинск; Ижевск; Киров; Набережные Челны; Нефтекамск; Нижнекамск; Октябрьский; Пермь; Салават; Стерлитамак; Уфа
re:Store,Россия,"Компьютеры, комплектующие, аксессуары",Выше среднего; Люкс / Премиум,2005.0,,87,Москва; Санкт-Петербург; Волгоград; Воронеж; Екатеринбург; Казань; Кемерово; Краснодар; Красноярск; Нижний Новгород; Новосибирск; Омск; Пермь; Ростов-на-Дону; Самара; Сочи; Сургут; Томск; Тюмень; Уфа; Челябинск
REBOOT,Россия,Спорт,Средний; Выше среднего,2017.0,,1,Москва
Redmond,Россия,Аксессуары,Средний,2004.0,,150,Москва; Санкт-Петербург; Балашиха; Екатеринбург; Железнодорожный; Клин; Коломна; Лобня; Люберцы; Мытищи; Подольск; Реутов; Сергиев Посад; Тюмень; Химки; Челябинск; Ярославль
REDMOND Smart Home,США,Бытовая техника,Средний,1993.0,,200 и 20 франчайзинговых,
Reebok,США,Спорт,Средний,1958.0,742.0,33,Москва; Санкт-Петербург; Волгоград; Иваново; Кемерово; Кострома; Красноярск; Курск; Мытищи; Пермь; Рязань; Саранск; Ярославль
RegenBogen,Германия,Все для дома,Средний; Выше среднего,2003.0,7.0,7 и 3 франчайзинговых,Москва; Санкт-Петербург; Великий Новгород; Владикавказ; Тюмень
Reima,Финляндия,Товары и услуги для детей,Люкс / Премиум,1944.0,,7 и 11 франчайзинговых,Москва; Санкт-Петербург; Владивосток; Екатеринбург; Иркутск; Казань; Калининград; Котельники; Новосибирск; Ростов-на-Дону; Самара; Тюмень
Remobi,Россия,Услуги населению,Средний,2011.0,97.0,97,Москва; Санкт-Петербург; Екатеринбург; Казань; Нижний Новгород; Новосибирск
Rendez-vous,Россия,Обувь,Средний; Выше среднего,2000.0,81.0,80,Москва; Санкт-Петербург; Белгород; Волгоград; Воронеж; Екатеринбург; Казань; Калуга; Краснодар; Красноярск; Курск; Липецк; Набережные Челны; Нижний Новгород; Новокузнецк; Новосибирск; Омск; Оренбург; Пермь; Ростов-на-Дону; Рязань; Самара; Саратов; Сочи; Ставрополь; Сургут; Тула; Тюмень; Уфа; Челябинск; Ярославль
REPLAY,Италия,Одежда,Выше среднего,1978.0,220.0,7 и 45 франчайзинговых,Краснодар; Новороссийск; Ростов-на-Дону
Reserved,Польша,Одежда,Средний,2000.0,43.0,11,Москва; Санкт-Петербург; Белгород; Воронеж; Химки
Respect,Россия,Обувь,Средний; Выше среднего,2001.0,,214 и 59 франчайзинговых,Москва; Санкт-Петербург; Абакан; Арзамас; Барнаул; Белгород; Владивосток; Владимир; Волгоград; Вологда; Воронеж; Дзержинск; Егорьевск; Екатеринбург; Железнодорожный; Иваново; Иркутск; Киров; Клин; Ковров; Коломна; Королев; Красногорск; Краснодар; Красноярск; Липецк; Магнитогорск; Майкоп; Мурманск; Мытищи; Набережные Челны; Находка; Нефтекамск; Нижневартовск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новороссийск; Новосибирск; Одинцово; Омск; Орел; Оренбург; Пенза; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Псков; Ростов-на-Дону; Рязань; Салават; Самара; Саратов; Северодвинск; Сергиев Посад; Серпухов; Смоленск; Сочи; Ставрополь; Старый Оскол; Стерлитамак; Сургут; Тольятти; Томск; Тула; Уссурийск; Уфа; Чебоксары; Челябинск; Якутск
Rezultat,Россия,"Здоровье, лечение, профилактика",Средний,2011.0,6.0,3 и 3 франчайзинговых,Санкт-Петербург; Мончегорск
Rich Family,Россия,Товары и услуги для детей,Ниже среднего,2002.0,,22,Барнаул; Иркутск; Кемерово; Красноярск; Новокузнецк; Новосибирск; Омск; Саратов; Томск; Тюмень; Улан-Удэ; Уфа; Хабаровск; Челябинск
Rieker,Германия,Обувь,Выше среднего,1874.0,9000.0,150,Москва; Санкт-Петербург; Барнаул; Белгород; Волгоград; Вологда; Воронеж; Екатеринбург; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калуга; Кемерово; Краснодар; Красноярск; Курган; Курск; Липецк; Мурманск; Набережные Челны; Нижний Новгород; Нижний Тагил; Новокузнецк; Новороссийск; Новосибирск; Омск; Орел; Пенза; Пермь; Ростов-на-Дону; Самара; Саранск; Саратов; Смоленск; Ставрополь; Старый Оскол; Стерлитамак; Сургут; Таганрог; Тамбов; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Чебоксары; Челябинск; Череповец; Ярославль
Rinaldi B&B,Россия,Услуги населению,Средний,2003.0,,17,Санкт-Петербург
Roberto Bravo,Италия,Ювелирные магазины,Средний; Выше среднего,1948.0,130.0,63,Москва; Астрахань; Барнаул; Белгород; Брянск; Бузулук; Владивосток; Владимир; Волжский; Воронеж; Дмитров; Екатеринбург; Ижевск; Иркутск; Калининград; Калуга; Кемерово; Краснодар; Красноярск; Липецк; Магнитогорск; Майкоп; Набережные Челны; Новороссийск; Новосибирск; Новый Уренгой; Омск; Орел; Пенза; Пермь; Ростов-на-Дону; Самара; Саранск; Саратов; Серпухов; Смоленск; Сочи; Ставрополь; Сургут; Тамбов; Тверь; Томск; Тула; Тюмень; Уфа; Хабаровск; Ханты-Мансийск; Челябинск
Robinzon,Россия,Аксессуары,Средний,1993.0,,200,Москва; Санкт-Петербург; Волгоград; Екатеринбург; Казань; Калининград; Краснодар; Красноярск; Мурманск; Мытищи; Находка; Нижний Новгород; Новосибирск; Подольск; Пятигорск; Ростов-на-Дону; Саратов; Смоленск; Хабаровск
Rocky,Россия,Спорт,Средний; Выше среднего,2012.0,1.0,1 и 3 франчайзинговых,Москва; Балаково; Иваново; Иркутск; Липецк
Rossita,Россия,Обувь,Средний,1998.0,30.0,30,Абакан; Барнаул; Ижевск; Кемерово; Красноярск; Магнитогорск; Новокузнецк; Новосибирск; Омск; Пермь; Тюмень; Хабаровск; Челябинск
ROY ROBSON,Германия,Одежда,Выше среднего; Люкс / Премиум,1922.0,,2,Санкт-Петербург
Royal Spirit,Россия,Одежда,Средний,,130.0,120,Москва; Санкт-Петербург; Абакан; Анапа; Арзамас; Артем; Архангельск; Астрахань; Ачинск; Балашиха; Барнаул; Белгород; Благовещенск; Бор; Брянск; Видное; Владивосток; Владимир; Волгоград; Волжский; Вологда; Воронеж; Воскресенск; Геленджик; Димитровград; Дмитров; Егорьевск; Екатеринбург; Зеленоград; Иркутск; Йошкар-Ола; Казань; Калининград; Калуга; Кинель; Киров; Ковров; Коломна; Королев; Красногорск; Краснодар; Красноярск; Лангепас; Липецк; Люберцы; Мурманск; Набережные Челны; Нальчик; Нижневартовск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новороссийск; Новочебоксарск; Ногинск; Ноябрьск; Обнинск; Орехово-Зуево; Орск; Павловский Посад; Пенза; Пермь; Петрозаводск; Подольск; Прокопьевск; Псков; Пятигорск; Ростов-на-Дону; Рыбинск; Рязань; Салават; Самара; Саранск; Саратов; Северодвинск; Сергиев Посад; Симферополь ; Смоленск; Ставрополь; Стерлитамак; Сургут; Сызрань; Тамбов; Тверь; Тольятти; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Ухта; Химки; Чебоксары; Челябинск; Череповец; Шахты; Электросталь; Югорск; Якутск
Royal Thai,Россия,"Здоровье, лечение, профилактика",Средний,2007.0,,11 и 4 франчайзинговых,Москва; Санкт-Петербург; Новосибирск
ROYCE’,Япония,Шоколадный бутик,Средний; Выше среднего,1983.0,80.0,9,Москва; Владивосток; Хабаровск; Южно-Сахалинск
Ruban,Россия,Одежда,Люкс / Премиум,2010.0,9.0,9,Москва; Санкт-Петербург
RUBEL,Россия,Аксессуары,Средний,2014.0,,4,Краснодар; Симферополь 
RUXARA,Россия,Одежда,Средний,,5.0,5,Москва; Мытищи; Солнечногорск
S Parfum,Россия,Парфюмерия и Косметика,Выше среднего,1995.0,5.0,5 и 70 франчайзинговых,Москва; Нижний Новгород
S&I Fitness,Россия,Спорт,Средний; Выше среднего,2015.0,5.0,5 и 11 франчайзинговых,Москва; Санкт-Петербург; Владивосток; Жуковский; Уссурийск; Челябинск
S.Lavia,Россия,Аксессуары,Средний,2008.0,,29,Йошкар-Ола; Киров; Чебоксары
S2B,Россия,"Сигары, табак, аксессуары",Средний,2012.0,18.0,7 и 11 франчайзинговых,Москва; Санкт-Петербург; Великий Новгород; Казань; Королев; Краснодар; Саратов
SAGITTA,Россия,Одежда,Средний,,,2,Нижний Новгород; Самара
Salamander,Австрия,Обувь,Средний,1885.0,51.0,51,Москва; Санкт-Петербург; Альметьевск; Владивосток; Выборг; Ижевск; Казань; Киров; Котельники; Краснодар; Набережные Челны; Нижний Новгород; Новосибирск; Омск; Оренбург; Ростов-на-Дону; Самара; Сочи; Сургут; Тула; Уфа; Чебоксары; Челябинск; Якутск
SaldenS Brewery,Россия,Вино и алкогольные напитки,Средний,2012.0,3.0,3 и 1 франчайзинговых,Москва; Тула
Salita,Италия,Обувь,Средний; Выше среднего,,3.0,3,Москва
Salomon,Франция,Спорт,Средний; Выше среднего; Люкс / Премиум,2004.0,,80,Москва; Санкт-Петербург; Краснодар; Нижний Новгород; Омск; Ростов-на-Дону; Уфа
Samsonite,США,Аксессуары,Средний; Выше среднего,1910.0,,49 и 14 франчайзинговых,Москва; Санкт-Петербург; Белгород; Волгоград; Воронеж; Екатеринбург; Иркутск; Мытищи; Новосибирск; Подольск; Ростов-на-Дону; Рязань; Самара; Саратов; Сочи; Сургут; Томск
Samsung,Южная Корея,Бытовая техника,Ниже среднего; Средний; Выше среднего,2005.0,,88,Москва; Санкт-Петербург; Астрахань; Белгород; Волгоград; Воронеж; Екатеринбург; Иркутск; Казань; Калининград; Кемерово; Краснодар; Липецк; Новосибирск; Омск; Оренбург; Пермь; Ростов-на-Дону; Рязань; Самара; Сочи; Сургут; Тольятти; Томск; Тула; Тюмень; Уфа; Челябинск
Samura,Япония,Все для дома,Средний,2008.0,,,Москва; Санкт-Петербург; Ангарск; Артем; Архангельск; Барнаул; Белгород; Благовещенск; Брянск; Владивосток; Владимир; Волгоград; Волжский; Екатеринбург; Зеленоград; Иваново; Иркутск; Казань; Калининград; Кемерово; Комсомольск-на-Амуре; Красноярск; Курган; Люберцы; Магнитогорск; Нальчик; Наро-Фоминск; Находка; Нефтеюганск; Новокузнецк; Новосибирск; Норильск; Омск; Орск; Петропавловск-Камчатский; Ростов-на-Дону; Рязань; Салехард; Саратов; Северодвинск; Серпухов; Сочи; Ставрополь; Сургут; Сыктывкар; Томск; Тула; Тюмень; Улан-Удэ; Уссурийск; Уфа; Чебоксары; Челябинск; Череповец; Южно-Сахалинск; Якутск; Ярославль
SANDAL,Италия,Обувь,Средний; Выше среднего,,5.0,5,Москва; Омск
Sapore Italiano,Россия,"Кафе, ресторан",Средний,2007.0,,6,Ростов-на-Дону; Ставрополь; Таганрог
Sarabanda,Италия,Товары и услуги для детей,Средний,1973.0,3.0,3 и 2 франчайзинговых,Казань; Краснодар; Ростов-на-Дону; Уфа
Sarto Reale,Италия,Одежда,Средний; Выше среднего,2007.0,,10,Москва; Санкт-Петербург; Котельники; Красногорск; Краснодар
,,,Неизвестно,,,,
SAVAGE,Россия,Одежда,Средний,2000.0,,10 и 150 франчайзинговых,Набережные Челны; Нижний Тагил; Новосибирск; Таганрог; Ульяновск
Sbarro,США,"Кафе, ресторан",Средний,1956.0,1200.0,3 и 20 франчайзинговых,Москва
,,,Неизвестно,,,,
Sefaro Exotic,Россия,Аксессуары,Выше среднего,2009.0,14.0,14,Барнаул; Владивосток; Волгоград; Казань; Краснодар; Минеральные Воды; Пятигорск; Самара; Тольятти; Тюмень; Уфа
Sela,Россия,Одежда,Средний,1989.0,,350 и 250 франчайзинговых,Москва; Санкт-Петербург; Абакан; Альметьевск; Арзамас; Армавир; Архангельск; Астрахань; Ачинск; Балаково; Балашиха; Барнаул; Белгород; Березники; Бийск; Благовещенск; Братск; Брянск; Великие Луки; Великий Новгород; Владивосток; Владикавказ; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Воронеж; Глазов; Грозный; Дзержинск; Екатеринбург; Железнодорожный; Зеленоград; Златоуст; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Калуга; Каменск-Уральский; Кемерово; Киров; Кисловодск; Клин; Ковров; Коломна; Комсомольск-на-Амуре; Королев; Кострома; Красногорск; Краснодар; Красноярск; Курган; Курск; Кызыл; Липецк; Люберцы; Магадан; Магнитогорск; Майкоп; Махачкала; Междуреченск; Миасс; Муром; Мытищи; Набережные Челны; Назрань; Нальчик; Находка; Нефтекамск; Нефтеюганск; Нижневартовск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новокуйбышевск; Новомосковск; Новороссийск; Новосибирск; Новочеркасск; Новый Уренгой; Ногинск; Норильск; Ноябрьск; Обнинск; Октябрьский; Омск; Орел; Оренбург; Орехово-Зуево; Орск; Пенза; Первоуральск; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Прокопьевск; Псков; Пушкино; Пятигорск; Ростов-на-Дону; Рубцовск; Рыбинск; Рязань; Салават; Самара; Саранск; Саратов; Северодвинск; Сергиев Посад; Серпухов; Ставрополь; Старый Оскол; Стерлитамак; Сургут; Сыктывкар; Таганрог; Тамбов; Тверь; Тобольск; Тольятти; Томск; Тула; Тюмень; Ульяновск; Уссурийск; Уфа; Ухта; Хабаровск; Чебоксары; Челябинск; Череповец; Черкесск; Чита; Шахты; Щелково; Электросталь; Элиста; Энгельс; Южно-Сахалинск; Якутск; Ярославль
SELENA,Россия,Аксессуары,Средний,1991.0,,35 и 21 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Астрахань; Барнаул; Иваново; Ижевск; Махачкала; Новосибирск; Оренбург; Пенза; Пермь; Ростов-на-Дону; Саратов; Северодвинск; Тамбов; Уфа; Чебоксары; Чита
Selgros Cash&Carry,Германия,Продукты питания,Средний,1959.0,90.0,11,Москва; Волгоград; Казань; Котельники; Одинцово; Ростов-на-Дону; Рязань; Тула
Seneco,Россия,Ремонт и строительство,Средний,2010.0,2.0,2 и 8 франчайзинговых,Воронеж; Иркутск; Набережные Челны; Самара
Senor Doner,Россия,"Кафе, ресторан",Средний,2017.0,3.0,3 и 1 франчайзинговых,Петрозаводск
Sephora,Франция,Парфюмерия и Косметика,Выше среднего; Люкс / Премиум,1969.0,515.0,,Москва
SERGE,Беларусь,Одежда,Средний,1996.0,253.0,70 и 90 франчайзинговых,
SERGINNETTI,Россия,Одежда,Средний,1996.0,,56 и 53 франчайзинговых,Москва; Санкт-Петербург
Shannons Irish Bar ,Россия,"Кафе, ресторан",Средний,2014.0,5.0,5,Москва; Новосибирск; Сочи
Shatte,Россия,Одежда,Средний,2008.0,25.0,25,Москва; Архангельск; Астрахань; Великий Новгород; Владимир; Вологда; Иваново; Калининград; Кострома; Мурманск; Пенза; Петрозаводск; Рязань; Смоленск; Сургут; Сыктывкар; Тверь; Тула; Череповец; Ярославль
ShaurMeals,Россия,"Кафе, ресторан",Средний,2015.0,6.0,6 и 20 франчайзинговых,Абакан; Барнаул; Иркутск; Казань; Калининград; Кемерово; Магадан; Нефтеюганск; Нижневартовск; Сургут; Чита; Шахты
Sherlock,Россия,"Сигары, табак, аксессуары",Люкс / Премиум,2008.0,,27 и 13 франчайзинговых,Москва; Армавир; Брянск; Владимир; Волоколамск; Иваново; Ковров; Липецк; Надым; Пятигорск; Реутов; Саратов; Симферополь ; Таганрог; Тобольск; Чита; Ярославль
Shoiberg,Россия,Обувь,Средний,2011.0,5.0,5,Москва
Siberina,Россия,Одежда,Средний,1993.0,30.0,30,Барнаул; Бийск; Екатеринбург; Златоуст; Иркутск; Кемерово; Нижний Тагил; Новокузнецк; Новосибирск; Пермь; Прокопьевск; Рубцовск; Томск; Челябинск
Silver & Silver,Россия,Ювелирные магазины,Средний,2005.0,22.0,22 и 24 франчайзинговых,Москва; Санкт-Петербург; Мытищи
Silver Spoon,Россия,Товары и услуги для детей,Выше среднего,2004.0,,6 и 11 франчайзинговых,Москва; Брянск; Краснодар; Красноярск; Махачкала; Оренбург; Сургут; Тольятти; Тюмень; Челябинск
SimpleWine,Россия,Вино и алкогольные напитки,Средний,2003.0,,31,Москва; Санкт-Петербург; Ростов-на-Дону; Химки
SINSAY,Польша,Одежда,Ниже среднего; Средний,2013.0,150.0,35,Москва; Санкт-Петербург; Барнаул; Брянск; Волгоград; Екатеринбург; Ижевск; Киров; Краснодар; Курск; Магнитогорск; Мурманск; Нижний Новгород; Новокузнецк; Омск; Орел; Петрозаводск; Ростов-на-Дону; Рязань; Самара; Смоленск; Томск; Тула; Тюмень; Уфа; Челябинск; Ярославль
SK Royal Hotel,Россия,Услуги населению,Выше среднего; Люкс / Премиум,2004.0,,4,Москва; Калуга; Тула; Ярославль
SKAZKA Natali Romanovoi,Россия,Ювелирные магазины,Средний; Выше среднего,1997.0,1000.0,1000,Москва; Санкт-Петербург; Абакан; Александров; Анапа; Ангарск; Арзамас; Армавир; Артем; Архангельск; Астрахань; Балаково; Балашиха; Белгород; Березники; Бийск; Братск; Брянск; Великие Луки; Великий Новгород; Великий Устюг; Владивосток; Владикавказ; Владимир; Волжский; Вологда; Воронеж; Воскресенск; Гатчина; Геленджик; Глазов; Дзержинск; Димитровград; Дмитров; Долгопрудный; Домодедово; Дубна; Екатеринбург; Ессентуки; Железногорск; Железнодорожный; Жуковский; Звенигород; Зеленогорск; Зеленоград; Иваново; Ижевск; Истра; Казань; Калининград; Калуга; Кемерово; Кингисепп; Киров; Кисловодск; Клин; Коломна; Комсомольск-на-Амуре; Кострома; Котельники; Красногорск; Краснодар; Красноярск; Курск; Ленинск-Кузнецкий; Лесосибирск; Липецк; Лобня; Люберцы; Магнитогорск; Миасс; Мурманск; Мытищи; Набережные Челны; Находка; Невинномысск; Нижневартовск; Нижнекамск; Нижний Новгород; Новокузнецк; Новороссийск; Новосибирск; Новочеркасск; Новошахтинск; Нягань; Одинцово; Октябрьский; Омск; Орел; Оренбург; Пенза; Первоуральск; Петрозаводск; Петропавловск-Камчатский; Подольск; Псков; Пушкино; Пятигорск; Раменское; Реутов; Россошь; Ростов-на-Дону; Рубцовск; Рыбинск; Рязань; Самара; Саров; Северодвинск; Серпухов; Смоленск; Солнечногорск; Сочи; Ставрополь; Старый Оскол; Сургут; Сызрань; Сыктывкар; Таганрог; Тверь; Тобольск; Томск; Троицк; Туапсе; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Ухта; Хабаровск; Ханты-Мансийск; Химки; Чебоксары; Челябинск; Череповец; Чита; Электросталь; Энгельс; Якутск; Ярославль
Skechers,США,Обувь,Средний,1992.0,,333,Москва; Санкт-Петербург; Абакан; Альметьевск; Ангарск; Архангельск; Астрахань; Балаково; Белгород; Благовещенск; Братск; Брянск; Великий Новгород; Владивосток; Владикавказ; Вологда; Воронеж; Дзержинск; Димитровград; Железнодорожный; Иваново; Иркутск; Йошкар-Ола; Калуга; Каменск-Уральский; Ковров; Коломна; Комсомольск-на-Амуре; Кострома; Курган; Кызыл; Люберцы; Майкоп; Муром; Набережные Челны; Нальчик; Нефтекамск; Нижневартовск; Нижнекамск; Нижний Новгород; Новосибирск; Новочебоксарск; Новый Уренгой; Ногинск; Обнинск; Октябрьский; Оренбург; Орск; Пенза; Пермь; Петрозаводск; Петропавловск-Камчатский; Рубцовск; Рязань; Саратов; Северодвинск; Сергиев Посад; Серпухов; Смоленск; Сочи; Сургут; Сыктывкар; Таганрог; Тамбов; Тверь; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Хабаровск; Чебоксары; Череповец; Шахты; Щелково; Электросталь; Южно-Сахалинск; Якутск
SkillSet,Россия,Услуги населению,Средний,2010.0,,1 и 25 франчайзинговых,Москва; Санкт-Петербург; Владимир; Воронеж; Домодедово; Екатеринбург; Иркутск; Калининград; Калуга; Коломна; Королев; Краснодар; Липецк; Находка; Одинцово; Ростов-на-Дону; Сургут; Тула; Тюмень; Химки
Slanovskiy,Украина,Одежда,Выше среднего,2006.0,7.0,1 и 20 франчайзинговых,Сургут
Smart Vision,Россия,Оптика,Ниже среднего; Средний; Выше среднего; Люкс / Премиум,2008.0,,14,Москва; Волгоград; Мытищи; Одинцово; Серпухов; Солнечногорск; Ступино
